,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,O,A2,N1,OB,A5,N1,A3,A5,P4,P4,N1,A5,A3,OB,A5,N1,A4,C2,CD,N1
1,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
2,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
3,P3,OB,N1,O,C2,N1,O,O,P3,A2,N1,A2,P5,A3,P3,N1,AS,C2,P5,N1
4,AS,N1,CD,AS,O,P4,P5,MS,AS,A2,N1,C4,P4,AS,N1,A2,M1,AS,AS,N1
5,A4,N1,C2,A4,N1,O,O,N1,A4,N1,OB,C2,N1,A4,N1,C3,P4,N1,A4,N1
6,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
7,A5,N1,P3,AS,N1,A4,P2,O,C2,N1,P3,W6,OB,P5,N1,MS,AS,MS,P5,N1
8,A2,N1,A5,P3,N1,A2,A4,P2,O,N1,P4,A3,W6,P3,N1,C3,A2,P2,P2,N1
9,P4,N1,P5,C2,N1,A4,P4,M1,P5,O,MS,A5,C2,C4,N1,AS,M1,P4,P5,N1
10,P4,C2,N1,CD,AS,N1,P2,MS,AS,N1,O,A5,P4,OB,P2,N1,P2,C3,O,N1
11,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD
12,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD
13,OB,A3,N1,P2,OB,N1,CD,A4,P3,A4,N1,P4,C4,O,O,N1,A3,AS,C4,N1
14,MS,N1,P5,MS,N1,A3,M1,C2,MS,N1,MS,N1,C3,MS,O,C3,P4,M1,MS,N1
15,A3,N1,P3,A3,N1,A5,A2,W6,A3,N1,C2,C2,W6,A3,N1,O,C4,W6,A3,N1
16,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD
17,O,N1,A4,A3,N1,P5,OB,N1,A5,N1,P5,C2,W6,OB,N1,MS,W6,O,C2,N1
18,P2,N1,OB,P2,N1,P4,AS,P5,A2,N1,CD,AS,A5,P5,N1,C3,W6,P4,O,N1
19,P5,N1,P5,AS,N1,C4,M1,O,P5,N1,MS,MS,C3,P3,N1,CD,AS,N1,P4,O
20,O,CD,N1,O,C3,N1,A4,A4,A3,P3,N1,CD,A4,A4,CD,N1,CD,C4,OB,N1
21,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
22,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
23,OB,A2,N1,O,AS,N1,C2,A3,A5,A5,N1,P3,O,AS,AS,N1,C4,C2,OB,N1
24,P2,N1,CD,C4,O,C2,C2,O,CD,N1,O,C3,OB,C2,N1,A2,A3,C4,AS,N1
25,A5,N1,O,A5,N1,O,M1,P5,A5,N1,CD,P5,OB,A5,N1,AS,MS,C2,A5,N1
26,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
27,N1,P2,N1,P2,A3,N1,C3,O,P5,O,N1,P2,C2,O,A5,N1,OB,C3,MS,N1
28,P5,N1,A5,O,N1,MS,N1,P5,O,N1,A3,P5,CD,A3,N1,A4,P4,P4,A5,N1
29,A4,N1,AS,C2,N1,A5,W6,P4,A5,O,C4,A5,P3,C4,N1,P5,M1,A3,P4,N1
30,C4,A3,N1,C4,P2,N1,P2,CD,A5,N1,O,P3,A3,A3,A3,N1,A2,C2,A3,N1
31,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD
32,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD
33,A2,C4,N1,A4,C2,N1,C4,A4,O,P2,N1,P2,P3,O,O,N1,A5,AS,AS,N1
34,A2,N1,C2,C2,N1,A3,P5,C4,OB,N1,A4,C2,P5,C3,O,P3,A5,M1,P5,N1
35,A2,N1,C3,A2,N1,O,P5,M1,A2,N1,P5,P3,M1,A2,N1,O,A2,M1,A2,N1
36,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD
37,A2,N1,O,P5,N1,MS,OB,P4,OB,MS,N1,A4,CD,A4,N1,P2,P4,O,MS,N1
38,W6,AS,N1,A2,P2,N1,OB,N1,P3,CD,N1,O,N1,P3,OB,N1,C3,CD,O,N1
39,A4,N1,P4,C3,N1,A3,C3,O,A3,N1,C4,A2,C4,CD,N1,AS,P4,P3,N1,O
